genre,id
Drama,tt0107048
Fantasy,tt0107048
Biography,tt0107207
Drama,tt0107207
Thriller,tt0107207
Biography,tt0108052
Drama,tt0108052
History,tt0108052
Drama,tt0109830
Romance,tt0109830
Adventure,tt0110357
Animation,tt0110357
Drama,tt0110357
Crime,tt0110413
Drama,tt0110413
Thriller,tt0110413
Crime,tt0110912
Drama,tt0110912
Thriller,tt0110912
Crime,tt0111161
Drama,tt0111161
Drama,tt0111495
Mystery,tt0111495
Romance,tt0111495
Drama,tt0112471
Romance,tt0112471
Action,tt0112573
Biography,tt0112573
Drama,tt0112573
Biography,tt0112641
Crime,tt0112641
Drama,tt0112641
Drama,tt0113247
Action,tt0113277
Crime,tt0113277
Drama,tt0113277
Crime,tt0114369
Mystery,tt0114369
Thriller,tt0114369
Adventure,tt0114709
Animation,tt0114709
Comedy,tt0114709
Mystery,tt0114746
SciFi,tt0114746
Thriller,tt0114746
Comedy,tt0114787
Drama,tt0114787
War,tt0114787
Crime,tt0114814
Mystery,tt0114814
Thriller,tt0114814
Crime,tt0116282
Drama,tt0116282
Thriller,tt0116282
Crime,tt0117951
Drama,tt0117951
Drama,tt0118694
Romance,tt0118694
Comedy,tt0118715
Crime,tt0118715
Comedy,tt0118799
Drama,tt0118799
Romance,tt0118799
Drama,tt0119217
Crime,tt0119488
Drama,tt0119488
Mystery,tt0119488
Adventure,tt0119698
Animation,tt0119698
Fantasy,tt0119698
Comedy,tt0120382
Drama,tt0120382
SciFi,tt0120382
Crime,tt0120586
Drama,tt0120586
Crime,tt0120689
Drama,tt0120689
Fantasy,tt0120689
Comedy,tt0120735
Crime,tt0120735
Action,tt0120737
Adventure,tt0120737
Fantasy,tt0120737
Action,tt0120815
Drama,tt0120815
War,tt0120815
Action,tt0133093
SciFi,tt0133093
Drama,tt0137523
Drama,tt0154420
Action,tt0167260
Adventure,tt0167260
Fantasy,tt0167260
Action,tt0167261
Adventure,tt0167261
Fantasy,tt0167261
Drama,tt0167404
Mystery,tt0167404
Thriller,tt0167404
Adventure,tt0169102
Drama,tt0169102
Musical,tt0169102
Drama,tt0169547
Action,tt0172495
Adventure,tt0172495
Drama,tt0172495
Drama,tt0180093
Adventure,tt0198781
Animation,tt0198781
Comedy,tt0198781
Comedy,tt0208092
Crime,tt0208092
Mystery,tt0209144
Thriller,tt0209144
Comedy,tt0211915
Romance,tt0211915
Adventure,tt0245429
Animation,tt0245429
Family,tt0245429
Drama,tt0245712
Thriller,tt0245712
Drama,tt0246578
Mystery,tt0246578
SciFi,tt0246578
Biography,tt0253474
Drama,tt0253474
War,tt0253474
Adventure,tt0266543
Animation,tt0266543
Comedy,tt0266543
Action,tt0266697
Crime,tt0266697
Biography,tt0268978
Drama,tt0268978
Crime,tt0317248
Drama,tt0317248
Action,tt0325980
Adventure,tt0325980
Fantasy,tt0325980
Drama,tt0338013
Romance,tt0338013
SciFi,tt0338013
Crime,tt0338564
Mystery,tt0338564
Thriller,tt0338564
Adventure,tt0347149
Animation,tt0347149
Family,tt0347149
Crime,tt0353969
Drama,tt0353969
Mystery,tt0353969
Adventure,tt0361748
Drama,tt0361748
War,tt0361748
Biography,tt0363163
Drama,tt0363163
History,tt0363163
Drama,tt0364569
Mystery,tt0364569
Thriller,tt0364569
Action,tt0367110
Family,tt0367110
Action,tt0372784
Crime,tt0372784
Drama,tt0372784
Drama,tt0381681
Romance,tt0381681
Biography,tt0395169
Drama,tt0395169
History,tt0395169
Biography,tt0401383
Drama,tt0401383
Crime,tt0401792
Thriller,tt0401792
Drama,tt0405094
Thriller,tt0405094
Drama,tt0405159
Sport,tt0405159
Drama,tt0405508
History,tt0405508
Crime,tt0407887
Drama,tt0407887
Thriller,tt0407887
Action,tt0434409
SciFi,tt0434409
Thriller,tt0434409
Adventure,tt0435761
Animation,tt0435761
Comedy,tt0435761
Action,tt0440963
Crime,tt0440963
Thriller,tt0440963
Drama,tt0457430
Fantasy,tt0457430
War,tt0457430
Action,tt0468569
Crime,tt0468569
